id,ime,tema,podtema,leto,st_setov,novo,rabljeno
30599pb07,Loopin,Racers,Xalax,2001,1,0.09,0.22
31181pb01,"Duplo Figure, Female Lady, Dark Pink Dress, Lace Lined Tank Top with Blue Flower",DUPLO,General,2001,1,,4.78
31181pb02,"Duplo Figure, Female Lady, Red Dress, Blush, Ponytail",DUPLO,General,2002,2,3.54,2.83
31181pb03,"Duplo Figure, Female Lady, Brown Dress, Yellow Top, Black Hair (American Indian)",DUPLO,Western,1998,4,19.05,3.44
31181pb04,"Duplo Figure, Female Lady, Red Dress, Yellow Top and Green Collar",DUPLO,Western,1998,1,3.49,4.06
31181pb05,"Duplo Figure, Female Lady, Yellow Dress, Yellow Top, White Collar and Dark Pink Brooch",DUPLO,Western,1998,1,,3.28
31231pb01,"Duplo Figure Little Forest Friends, Female, Red Dress with Two White Flowers Down (Lolly Strawberry)",DUPLO,Little Forest Friends,1999,2,3.09,1.64
31231pb02,"Duplo Figure Little Forest Friends, Female, Red Dress with Yellow Berry (Melba Strawberry)",DUPLO,Little Forest Friends,1999,2,3.09,2.03
31231pb03,"Duplo Figure Little Forest Friends, Female, Red Hair, Red Dress with Two White Flowers Across (Sugar Strawberry)",DUPLO,Little Forest Friends,1999,1,3.09,1.33
31231pb04,"Duplo Figure Little Forest Friends, Female, Green Dress with Flowers (Trixie Toadstool)",DUPLO,Little Forest Friends,1999,1,3.09,3.58
31231pb05,"Duplo Figure Little Forest Friends, Female, Green Dress with Two Ladybugs (Grizzly Toadstool)",DUPLO,Little Forest Friends,2000,1,,4.82
31232pb01,"Duplo Figure Little Forest Friends, Male, Red Outfit with Leaves (Baby Jelly Strawberry)",DUPLO,Little Forest Friends,1999,1,3.09,1.91
31232pb02,"Duplo Figure Little Forest Friends, Male, Red Outfit with Spider Web (Jolly Strawberry)",DUPLO,Little Forest Friends,2000,1,,6.62
31232pb03,"Duplo Figure Little Forest Friends, Male, Green Outfit with Yellow Paw (Trouble Toadstool)",DUPLO,Little Forest Friends,1999,2,3.85,1.5
31232pb04,"Duplo Figure Little Forest Friends, Male, Green Outfit with Acorn (Grumpy Toadstool)",DUPLO,Little Forest Friends,1999,1,2.3,1.96
31233pb01,"Duplo Figure Little Forest Friends, Male, Medium Violet Outfit with Green Leaf (Boomer Bluebell)",DUPLO,Little Forest Friends,1999,1,3.9,6.19
31233pb02,"Duplo Figure Little Forest Friends, Male, Medium Violet Outfit with White Flower (Toot Bluebell)",DUPLO,Little Forest Friends,1999,2,3.09,1.72
31233pb03,"Duplo Figure Little Forest Friends, Male, White Outfit with Pine Cone (Sleepyhead Meadowsweet)",DUPLO,Little Forest Friends,1999,1,7.91,3.0
31233pb04,"Duplo Figure Little Forest Friends, Male, White Hat and Bee on Shirt (Dozey Meadowsweet)",DUPLO,Little Forest Friends,1999,2,,2.74
31234pb01,"Duplo Figure Little Forest Friends, Female, Medium Violet Dress with Butterfly (Jangle Bluebell)",DUPLO,Little Forest Friends,1999,1,,3.42
31234pb02,"Duplo Figure Little Forest Friends, Female, Medium Violet Dress with Strawberries (Jingle Bluebell)",DUPLO,Little Forest Friends,1999,3,3.09,1.82
31234pb03,"Duplo Figure Little Forest Friends, Female, White Dress with Three Red Berries (Dreamer Meadowsweet)",DUPLO,Little Forest Friends,1999,2,7.91,2.39
31234pb04,"Duplo Figure Little Forest Friends, Female, White Dress with Three Red Mushrooms (Snoozy Meadowsweet)",DUPLO,Little Forest Friends,1999,1,7.91,4.65
31310pb01,"Duplo Figure Doll, Anna Large, without Clothes",DUPLO,Dolls,2001,3,,8.76
31310pb02,"Duplo Figure Doll, Lisa Large, without Clothes",DUPLO,Dolls,2001,4,,5.2
31310pb03,"Duplo Figure Doll, Marie Large, without Clothes",DUPLO,Dolls,2001,4,,8.38
31310pb04,"Duplo Figure Doll, Sarah Large, without Clothes",DUPLO,Dolls,2001,3,10.22,7.87
31310pb05,"Duplo Figure Doll, Marie Large, Brown Shoes, without Clothes",DUPLO,Dolls,2008,1,13.39,10.23
31310pb06,"Duplo Figure Doll, Anna Large, Brown Shoes, without Clothes",DUPLO,Dolls,2008,1,13.97,10.23
31312pb01,"Duplo Figure Doll, Anna's Baby, Green Polka Dot Dress",DUPLO,Dolls,2001,2,,11.66
31312pb02,"Duplo Figure Doll, Lisa's Baby, Yellow Dress",DUPLO,Dolls,2001,5,12.25,8.8
31312pb03,"Duplo Figure Doll, Sarah's Baby, Red Dress",DUPLO,Dolls,2001,4,7.43,10.81
31312pb04,"Duplo Figure Doll, Marie's Baby, White Dress with Red Dots",DUPLO,Dolls,2001,3,,7.37
33254,"Mickey Mouse Figure with Blue Overalls, Green Sleeves, Blue Cap",Disney's Mickey Mouse,General,2000,2,7.69,3.98
33254b,"Mickey Mouse Figure with Blue Shirt, Red Pants (no cap)",Disney's Mickey Mouse,General,2000,2,9.8,4.86
33254c,"Mickey Mouse Figure with Red Pants, Black Fireman Uniform, Black Cap",Disney's Mickey Mouse,General,2000,1,16.81,4.28
35735pb01,"Duplo Figure, Disney Princess, Mrs. Potts (Duplo Utensil Teapot)",DUPLO,Disney / Disney Princess / Beauty and the Beast,2018,1,2.82,2.77
38014pb01,"Chip Potts (Minifigure, Utensil Tea Cup)",Disney,Disney Princess / Beauty and the Beast,2020,4,0.44,0.46
3899pb006,"Chip Potts (Minifigure, Utensil Cup)",Disney,Disney Princess / Beauty and the Beast,2016,2,1.17,1.25
41983,Harry Potter Troll,Harry Potter,Sorcerer's Stone,2002,1,29.82,15.36
4203,"Duplo Figure Little Robots, Stripy",DUPLO,Little Robots,2003,2,35.82,12.35
44310,"Duplo Figure Little Robots, Tiny",DUPLO,Little Robots,2003,3,20.15,13.25
44383,"Duplo Figure Little Robots, Sporty",DUPLO,Little Robots,2003,5,31.2,11.63
44732,"Duplo Figure Little Robots, Messy",DUPLO,Little Robots,2003,1,47.41,42.75
45001,"Duplo Figure Little Robots, Stretchy",DUPLO,Little Robots,2003,4,14.59,9.79
45219c01,Primo Figure Head Policeman with Helmet,Primo,General,2003,3,,2.9
45219c02,Primo Figure Head Fireman with Helmet,Primo,General,2003,3,,2.18
45219c03,Primo Figure Head Truck Driver with Helmet,Primo,General,2003,2,,3.94
45219c04,Primo Figure Head Construction Worker with Helmet,Primo,General,2003,3,,2.33
4534,"Clikits Figure Heart - Yellow Hair, Light Green Top, Magenta Skirt",Clikits,General,2005,1,3.49,8.63
4555pb003,"Duplo Figure, Female, Light Green Legs, Yellow Blouse, Black Hair, Asian Eyes",DUPLO,General,1996,1,,
4555pb004,"Duplo Figure, Female, Pink Legs, White Blouse, Black Hair",DUPLO,General,1992,1,,1.01
4555pb005,"Duplo Figure, Female, Yellow Legs, Dark Gray Top with Yellow Zipper and Blue Arms, Black Ponytail",DUPLO,General,2002,1,4.02,3.01
4555pb006,"Duplo Figure, Female, Blue Legs, White Top with Blue Overalls with Red Hearts",DUPLO,General,2001,1,2.5,0.91
4555pb007,"Duplo Figure, Female, White Legs, Blue Striped Top, Nougat Arms, Ponytail",DUPLO,General,2002,2,3.55,1.62
4555pb008,"Duplo Figure, Female, Yellow Legs, Red Sweater with Yellow V Stitching, Brown Hair, Turned Up Nose",DUPLO,General,1994,7,2.12,0.64
4555pb008b,"Duplo Figure, Female, Yellow Legs, Red Sweater with Yellow V Stitching, Brown Hair, Turned Down Nose",DUPLO,General,1991,3,,0.68
4555pb009,"Duplo Figure, Female, Light Green Legs, White Top with Light Green Overalls with Pink Buttons, Fabuland Brown Hair",DUPLO,General,1993,1,,1.49
4555pb010,"Duplo Figure, Female, White Legs, Blue Top with Scarf and Jet Airplane, Brown Hair, Turned Down Nose (Flight Attendant)",DUPLO,"DUPLO, Town / Airport",1993,1,,2.64
4555pb011,"Duplo Figure, Female, Yellow Legs, Red Blouse with White Collar, Gray Hair, Glasses, Asian Eyes",DUPLO,General,1995,2,,1.27
4555pb012,"Duplo Figure, Female, Yellow Legs, Light Green Top with Heart Buttons, Gray Hair, Brown Head",DUPLO,General,1995,2,,5.87
4555pb014,"Duplo Figure, Female, Light Green Legs, White Blouse, Gray Hair, Glasses",DUPLO,General,1992,1,,5.58
4555pb015,"Duplo Figure, Female, Blue Legs, Red Jacket, Light Gray Hair, Glasses",DUPLO,General,1996,2,,1.92
4555pb016,"Duplo Figure, Female Medic, White Legs, White Top with EMT Star of Life Pattern, Black Hair",DUPLO,"DUPLO, Town / Hospital",1994,5,,1.48
4555pb017,"Duplo Figure, Female Medic, Orange Legs, Zippered Jacket with EMT Star of Life Pattern",DUPLO,"DUPLO, Town / Hospital",2002,1,3.75,2.53
4555pb018,"Duplo Figure, Female Police, Light Gray Legs, Yellow Hair",DUPLO,"DUPLO, Town / Police",1996,2,,1.36
4555pb019,"Duplo Figure, Female, Black Legs, Red Tie and Black Suit, Yellow Hair",DUPLO,General,1996,1,,0.91
4555pb020,"Duplo Figure, Female, Red Legs, Yellow Top Unbuttoned with Red Buttons, Fabuland Brown Hair",DUPLO,General,1990,3,,0.77
4555pb021,"Duplo Figure, Female, Wendy in Wallpapering Outfit",DUPLO,Bob The Builder,2002,1,2.03,1.46
4555pb022,"Duplo Figure, Female, Red Legs, Yellow Blouse with Red Buttons, Brown Hair",DUPLO,General,2002,2,3.29,2.33
4555pb023,"Duplo Figure, Female Zoo, Green Legs, Green Uniform, Yellow Hair (Zoo Keeper)",DUPLO,"DUPLO, Town / Zoo",1990,3,2.61,0.91
4555pb024,"Duplo Figure, Male, Green Legs, Black Top, Red Scarf, Cowboy Hat (Western Bad Guy)",DUPLO,Western,1998,3,,3.32
4555pb025,"Duplo Figure, Male, Dark Gray Legs, Dark Gray Zippered Coat, Blue Arms, Black Hair",DUPLO,General,2002,1,,1.72
4555pb026,"Duplo Figure, Male Action Wheeler, Blue Legs, Blue Jumpsuit with Parachute Straps, Black Racing Helmet",DUPLO,Action Wheelers,2000,1,,1.47
4555pb027,"Duplo Figure, Male, Blue Legs, Red Top with Blue Overalls, Blue Cap, Turned Up Nose",DUPLO,General,1996,4,1.3,0.64
4555pb028,"Duplo Figure, Male, Blue Legs, Blue Top Plaid with Pocket, Black Hair",DUPLO,General,2002,3,,4.71
4555pb029,"Duplo Figure, Male, Black Legs, Red and Blue Zippered Jacket, Blue Racing Helmet",DUPLO,"DUPLO, Town / Race",2002,1,,1.47
4555pb030,"Duplo Figure, Male, Bob the Builder",DUPLO,Bob The Builder,2001,7,2.13,1.16
4555pb031,"Duplo Figure, Male, Bob the Builder with Construction Jacket",DUPLO,Bob The Builder,2002,1,1.78,1.86
4555pb032,"Duplo Figure, Male, Blue Legs, Yellow Top with Tennis Racket and Ball Pattern, Brown Hair",DUPLO,General,1990,2,,0.86
4555pb033,"Duplo Figure, Male, Blue Legs, White Two Button Cardigan, Brown Hair",DUPLO,General,1994,7,2.92,0.82
4555pb034,"Duplo Figure, Male, Tan Legs, Blue Zippered Jacket, Black Curly Hair, Brown Head",DUPLO,General,2002,1,3.37,3.72
4555pb035,"Duplo Figure, Male, Brown Legs, Nougat Top (Caveman)",DUPLO,Dino,1997,7,1.22,1.21
4555pb037,"Duplo Figure, Male Action Wheeler, Blue Legs, Dark Gray Top with ID Badge with Belt, Yellow Cap, Sunglasses",DUPLO,Action Wheelers,2000,1,,1.84
4555pb038,"Duplo Figure, Male, Blue Legs, Yellow Top with Black Stripes and Lego Logo, Construction Hat White",DUPLO,"DUPLO, Town / Construction",1999,4,2.02,1.16
4555pb039,"Duplo Figure, Male, Light Gray Legs, Tan Top, Cowboy Hat",DUPLO,"DUPLO, Town / Safari",1994,2,3.76,1.99
4555pb040,"Duplo Figure, Male, Red Legs, Red Top with Octan Logo, Crooked Blue Hat",DUPLO,Action Wheelers,2002,2,2.46,0.99
4555pb041,"Duplo Figure, Male, Orange Legs, Orange Top with Racer Zipper, Green Arms, Black Helmet",DUPLO,"DUPLO, Town / Race",2002,1,2.02,1.52
4555pb042,"Duplo Figure, Male Action Wheeler, White Legs, White Top with Racer Red Lightning Bolt and Lines, Red Helmet with Large Eyes",DUPLO,Action Wheelers,2000,1,2.02,0.89
4555pb043,"Duplo Figure, Male Fireman, Black Legs, Black Top with Fire Logo and Zipper, White Fire Helmet, Moustache",DUPLO,"DUPLO, Town / Fire",1995,4,,1.22
4555pb044,"Duplo Figure, Male Fireman, Black Legs, Black Top with Fire Logo and Zipper, Blue Aviator Helmet",DUPLO,"DUPLO, Town / Fire",2001,1,,0.83
4555pb045,"Duplo Figure, Male Fireman, Black Legs, Black Top with Fire Logo and Zipper, White Fire Helmet",DUPLO,"DUPLO, Town / Fire",1995,5,,0.77
4555pb046,"Duplo Figure, Male, White Legs, Blue Top (Airplane Jetliner Pilot)",DUPLO,"DUPLO, Town / Airport",1993,2,5.32,1.18
4555pb048,"Duplo Figure, Male, Blue Legs, White Two Button Cardigan, Gray Hair, Brown Head",DUPLO,General,1995,2,,3.78
4555pb049,"Duplo Figure, Male, Dark Gray Legs, Medium Blue Vest, Gray Hair, Glasses",DUPLO,General,1992,1,,3.4
4555pb050,"Duplo Figure, Male, Black Legs, Yellow Argyle Sweater, Gray Hair, Asian Eyes",DUPLO,General,1995,2,,6.59
4555pb051,"Duplo Figure, Male, Black Legs, Red Top with Pockets (Intelli-Train Red Conductor)",DUPLO,"DUPLO, Train",2002,3,2.42,2.63
4555pb052,"Duplo Figure, Male, Black Legs, Yellow Top with Pockets (Intelli-Train Yellow Conductor)",DUPLO,"DUPLO, Train",2002,3,3.05,2.69
4555pb053,"Duplo Figure, Male, Black Legs, White Top with 2-672 Number on Chest, Black Hair, Black Hands, Stubble (Jailbreak Joe)",DUPLO,"DUPLO, Town / Police",1996,3,2.34,1.55
4555pb054,"Duplo Figure, Male, Dark Gray Legs, Blue Top with Gold Necklace and Belt, Moustache (King)",DUPLO,General,2002,2,4.05,1.86
4555pb055,"Duplo Figure, Male, Red Legs, Blue Top, Life Jacket, Brown Hair",DUPLO,"DUPLO, Town / Harbor",1997,1,,0.81
4555pb056,"Duplo Figure, Male, Dark Gray Legs, White Top with Octan Logo, Green Helmet",DUPLO,General,2001,1,,1.44
4555pb057,"Duplo Figure, Male, White Legs, Blue Top with Plane Logo, Yellow Aviator Helmet, (Pilot)",DUPLO,"DUPLO, Town / Airport",1993,2,3.03,0.95
4555pb058,"Duplo Figure, Male Police, Blue Legs, Black Top with Gold Badge, Black Hat, Turned Up Nose and Round Eyes",DUPLO,"DUPLO, Town / Police",1995,1,,0.71
4555pb059,"Duplo Figure, Male Police, Dark Gray Legs, Black Top with Zipper, Tie and Badge, Brown Hair",DUPLO,"DUPLO, Town / Police",2002,1,,0.81
4555pb060,"Duplo Figure, Male Police, Dark Gray Legs, Black Top with Zipper, Tie and Badge, Blue Aviator Helmet",DUPLO,"DUPLO, Town / Police",2002,1,2.47,0.82
4555pb061,"Duplo Figure, Male Police, Blue Legs, Black Top with 3 Buttons and Badge, Blue Hat",DUPLO,"DUPLO, Town / Police",1991,3,,0.64
4555pb062,"Duplo Figure, Male Police, Blue Legs, Black Top with 3 Buttons and Badge, Blue Aviator Helmet and Nose Bow Line Up",DUPLO,"DUPLO, Town / Police",1993,1,,0.79
4555pb063,"Duplo Figure, Male Police, Light Gray Legs, Black Top with 3 Buttons and Badge, Blue Aviator Helmet",DUPLO,"DUPLO, Town / Police",1996,2,1.4,0.95
4555pb064,"Duplo Figure, Male Police, Light Gray Legs, Black Top with 3 Buttons and Badge, White Racing Helmet",DUPLO,"DUPLO, Town / Police",1996,2,,0.51
4555pb065,"Duplo Figure, Male, Red Legs, Red Top with Cat Eye Racer Logo, Blue Helmet",DUPLO,"DUPLO, Town / Race",2001,1,,1.53
4555pb066,"Duplo Figure, Male, White Legs, White Top with Black Zipper and Racer #1, Yellow Aviator Helmet",DUPLO,"DUPLO, Town / Race",1991,1,,1.18
4555pb067,"Duplo Figure, Male, Black Legs, Black Top with White Zipper and Racer #1, Yellow Helmet with Black Stripes",DUPLO,"DUPLO, Town / Race",2001,1,,1.55
4555pb068,"Duplo Figure, Male, White Legs, White Top with Black Zipper and Racer #2, Green Helmet",DUPLO,"DUPLO, Town / Race",1997,3,2.53,1.39
4555pb069,"Duplo Figure, Male, White Legs, White Top with Black Zipper and Racer #2, Red Aviator Helmet",DUPLO,"DUPLO, Town / Race",1990,1,,0.46
4555pb070,"Duplo Figure, Male, Red Legs, Red Top with Black Zipper and Racer #2, White Helmet with Checkered Stripe",DUPLO,"DUPLO, Town / Race",2001,1,,2.72
4555pb071,"Duplo Figure, Male, Green Legs, Red Top Plaid, Brown Cap",DUPLO,General,1996,5,2.01,0.67
4555pb072,"Duplo Figure, Female, Black Legs, Dark Gray Top with Blue Patches, Black Hair, Wart on Nose, Tooth",DUPLO,General,2002,2,4.05,2.28
4555pb073,"Duplo Figure, Male, Dark Gray Legs, Tan Top, Pith Helmet, Moustache",DUPLO,"DUPLO, Town / Safari",1994,4,2.36,1.1
4555pb074,"Duplo Figure, Male, Dark Gray Legs, White Top with Blue Vest with Pocket and Two Buttons, Black Top Hat",DUPLO,General,2001,1,,5.56
4555pb075,"Duplo Figure, Male, Black Legs, Black Top with 4 Yellow Buttons and Red Tie, Black Hat, Curly Moustache (Train Engineer)",DUPLO,"DUPLO, Train",1996,4,,0.93
4555pb077,"Duplo Figure, Female, Red Legs, Yellow Top with Red Buttons & Wrench in Pocket, Construction Hat White",DUPLO,General,1995,3,,0.72
4555pb078,"Duplo Figure, Male, Green Legs, Yellow Top with Green Overalls, Red Cap (Zoo Keeper)",DUPLO,"DUPLO, Town / Zoo",1995,5,,1.13
4555pb079,"Duplo Figure, Male, Green Legs, Green Top, Yellow Cap (Zoo Keeper)",DUPLO,"DUPLO, Town / Zoo",1990,5,3.81,0.46
4555pb080,"Duplo Figure, Male, Brown Legs, Nougat Top with White Stripes (American Indian Chief)",DUPLO,Western,1998,4,,3.26
4555pb081,"Duplo Figure, Male, Blue Legs, Blue Top with Cell Phone in Pocket, Construction Hat Orange",DUPLO,General,2002,2,2.97,1.96
4555pb082,"Duplo Figure, Male, Naughty Spud (Bob the Builder)",DUPLO,Bob The Builder,2002,2,7.0,2.53
4555pb083,"Duplo Figure, Male, Yellow Legs, Yellow Top with Green Racer Suspenders, Black Helmet with Stripes and Bear Pattern",DUPLO,"DUPLO, Town / Race",2001,1,1.28,1.84
4555pb084,"Duplo Figure, Female, Medium Green Legs, Yellow Blouse with Collar, Gray Hair, Glasses",DUPLO,General,1994,7,,1.73
4555pb086,"Duplo Figure, Male, Blue Legs, Yellow Top, Brown Cap, with White in Eyes Pattern",DUPLO,General,1991,1,,0.41
4555pb087,"Duplo Figure, Male, Blue Legs, Red Top Plaid, White Cowboy Hat",DUPLO,Western,1998,1,5.27,3.03
4555pb088,"Duplo Figure, Male, Light Gray Legs, Blue Top with Red Bandana, Black Cowboy Hat",DUPLO,Western,1998,2,6.48,3.47
4555pb089,"Duplo Figure, Female, Red Legs, Blue Blouse with White Lace Trim, Brown Hair",DUPLO,General,1994,6,,0.85
4555pb090,"Duplo Figure, Male Police, Dark Gray Legs, Black Top with Zipper, Tie and Badge, Blue Cap",DUPLO,"DUPLO, Town / Police",2002,1,2.27,1.27
4555pb091,"Duplo Figure, Male Action Wheeler, Yellow Legs, Yellow Top with Yellow/Black/Red Parachute, Red Cap, Beard, Sunglasses and Headphone",DUPLO,Action Wheelers,2000,2,,2.04
4555pb092,"Duplo Figure, Female, Wendy in Worker Outfit, Bright Green Top",DUPLO,Bob The Builder,2001,1,,2.1
4555pb093,"Duplo Figure, Female, Blue Legs, Red Top with Blue Overalls, Brown Hair, Turned Down Nose",DUPLO,General,1993,1,,1.01
4555pb095,"Duplo Figure, Male, Black Legs, Yellow Chevron Vest, Black Arms, Black Cap",DUPLO,"DUPLO, Train",2000,1,,4.16
4555pb096,"Duplo Figure, Male, Black Legs, Chevron Vest, Yellow Arms, Construction Hat Red",DUPLO,"DUPLO, Train",2000,2,,1.22
4555pb097,"Duplo Figure, Female, Dark Pink Legs, Medium Green Blouse with Heart Buttons, Brown Hair",DUPLO,General,1994,1,,1.79
4555pb098,"Duplo Figure, Male, Blue Legs, Medium Green Top with Blue Buttons, Brown Hair",DUPLO,General,1994,3,,1.0
4555pb099,"Duplo Figure, Female, Blue Legs, Red Top with Yellow and Red Polka Dot Scarf, Blue Arms, Black Hair, Turned Down Nose",DUPLO,General,1991,1,,0.63
4555pb100,"Duplo Figure, Male, Blue Legs, Red Top Plaid, Brown Cap",DUPLO,General,1996,2,2.1,0.76
4555pb102,"Duplo Figure, Male, Blue Legs, Yellow Top with Wrench in Pocket, Construction Hat Yellow",DUPLO,General,1992,3,,0.78
